	shannon_entropy
14989.skin.hip.SHSU.2016.011.2016.04.21.day7	4.163856331004993
14989.skin.hip.SHSU.2016.011.2016.04.22.day8	4.713554860642905
14989.skin.hip.SHSU.2016.011.2016.04.23.day9	5.315511114127424
14989.skin.hip.SHSU.2016.011.2016.04.24.day10	4.8390670271606275
14989.skin.hip.SHSU.2016.011.2016.04.25.day11	4.34820949182814
14989.skin.hip.SHSU.2016.011.2016.04.26.day12	4.9234445201508015
14989.skin.hip.SHSU.2016.011.2016.04.27.day13	3.9463251884247774
14989.skin.hip.SHSU.2016.011.2016.04.28.day14	5.414465373830576
14989.skin.hip.SHSU.2016.011.2016.04.29.day15	4.454523226363626
14989.skin.hip.SHSU.2016.011.2016.04.30.day16	5.762979067770787
14989.skin.hip.SHSU.2016.011.2016.05.01.day17	5.420571512214418
14989.skin.hip.SHSU.2016.011.2016.05.02.day18	4.435266911612982
14989.skin.hip.SHSU.2016.011.2016.05.03.day19	4.309845088374328
14989.skin.hip.SHSU.2016.011.2016.05.04.day20	4.589988429670383
14989.skin.hip.SHSU.2016.011.2016.05.05.day21	5.345171586867616
14989.skin.hip.SHSU.2016.024.2016.04.17.day3	5.882639471574187
14989.skin.hip.SHSU.2016.024.2016.04.18.day4	5.072965980235326
14989.skin.hip.SHSU.2016.024.2016.04.19.day5	3.776512727208138
14989.skin.hip.SHSU.2016.024.2016.04.20.day6	4.050479062889628
14989.skin.hip.SHSU.2016.024.2016.04.21.day7	3.932127210333064
14989.skin.hip.SHSU.2016.024.2016.04.22.day8	4.591106753006472
14989.skin.hip.SHSU.2016.024.2016.04.23.day9	5.163255395059424
14989.skin.hip.SHSU.2016.024.2016.04.24.day10	5.447371078521007
14989.skin.hip.SHSU.2016.024.2016.04.25.day11	5.267284169461815
14989.skin.hip.SHSU.2016.024.2016.04.26.day12	5.50639467114377
14989.skin.hip.SHSU.2016.024.2016.04.27.day13	5.395404971812591
14989.skin.hip.SHSU.2016.024.2016.04.28.day14	5.55817097509852
14989.skin.hip.SHSU.2016.024.2016.04.29.day15	3.629973105036826
14989.skin.hip.SHSU.2016.024.2016.04.30.day16	4.157457440893109
14989.skin.hip.SHSU.2016.024.2016.05.01.day17	3.7149387258879067
14989.skin.hip.SHSU.2016.024.2016.05.02.day18	4.327246294213302
14989.skin.hip.SHSU.2016.024.2016.05.03.day19	4.716887409048574
14989.skin.hip.SHSU.2016.024.2016.05.04.day20	4.829559079205158
14989.skin.hip.SHSU.2016.024.2016.05.05.day21	4.02326214781717
14989.skin.hip.UTK.K016.01.2016.04.09.day5	5.572588908144496
14989.skin.hip.UTK.K016.01.2016.04.17.day13	4.6972331719890885
14989.skin.hip.UTK.K016.01.2016.04.18.day14	3.5108697912018467
14989.skin.hip.UTK.K016.01.2016.04.19.day15	4.379958806330971
14989.skin.hip.UTK.K016.01.2016.04.20.day16	4.180473814991756
14989.skin.hip.UTK.K016.01.2016.04.21.day17	4.6500173838359995
14989.skin.hip.UTK.K016.01.2016.04.22.day18	3.5817248657899987
14989.skin.hip.UTK.K016.01.2016.04.23.day19	3.9883790091117857
14989.skin.hip.UTK.K016.01.2016.04.24.day20	3.958829067990428
14989.skin.hip.UTK.K016.02.2016.04.19.day7	5.262636210351592
14989.skin.hip.UTK.K016.02.2016.04.20.day8	4.738518820821301
